STATISTIC,Statistic Label,TLIST(M1),Month,C03788V04538,COUNTYNAME,UNIT,WaitingTime
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1446-13a3-e055-000000000001,Offaly,Weeks,12.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1447-13a3-e055-000000000001,Roscommon,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-1449-13a3-e055-000000000001,Sligo,Weeks,15.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144a-13a3-e055-000000000001,Tipperary,Weeks,7.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144b-13a3-e055-000000000001,Waterford,Weeks,9.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144e-13a3-e055-000000000001,Wicklow,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144c-13a3-e055-000000000001,Westmeath,Weeks,4.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202110,2021 October,2ae19629-144d-13a3-e055-000000000001,Wexford,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,IE0,Ireland,Weeks,7.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1450-13a3-e055-000000000001,Clare,Weeks,6.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1451-13a3-e055-000000000001,Cork,Weeks,4.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1448-13a3-e055-000000000001,Cavan,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-143d-13a3-e055-000000000001,Carlow,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1452-13a3-e055-000000000001,Donegal,Weeks,11.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-144f-13a3-e055-000000000001,Dublin,Weeks,10.9
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1453-13a3-e055-000000000001,Galway,Weeks,6.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1455-13a3-e055-000000000001,Kildare,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1456-13a3-e055-000000000001,Kilkenny,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1454-13a3-e055-000000000001,Kerry,Weeks,6.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1441-13a3-e055-000000000001,Longford,Weeks,15.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1442-13a3-e055-000000000001,Louth,Weeks,13.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1440-13a3-e055-000000000001,Limerick,Weeks,7.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-143f-13a3-e055-000000000001,Leitrim,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-143e-13a3-e055-000000000001,Laois,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1444-13a3-e055-000000000001,Meath,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1445-13a3-e055-000000000001,Monaghan,Weeks,3.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1443-13a3-e055-000000000001,Mayo,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1446-13a3-e055-000000000001,Offaly,Weeks,9.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1447-13a3-e055-000000000001,Roscommon,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-1449-13a3-e055-000000000001,Sligo,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-144a-13a3-e055-000000000001,Tipperary,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-144b-13a3-e055-000000000001,Waterford,Weeks,6.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-144e-13a3-e055-000000000001,Wicklow,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-144c-13a3-e055-000000000001,Westmeath,Weeks,4.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202111,2021 November,2ae19629-144d-13a3-e055-000000000001,Wexford,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,IE0,Ireland,Weeks,7.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1450-13a3-e055-000000000001,Clare,Weeks,5.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1451-13a3-e055-000000000001,Cork,Weeks,6.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1448-13a3-e055-000000000001,Cavan,Weeks,8.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-143d-13a3-e055-000000000001,Carlow,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1452-13a3-e055-000000000001,Donegal,Weeks,10.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-144f-13a3-e055-000000000001,Dublin,Weeks,10.6
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1453-13a3-e055-000000000001,Galway,Weeks,7.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1455-13a3-e055-000000000001,Kildare,Weeks,6.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202112,2021 December,2ae19629-1456-13a3-e055-000000000001,Kilkenny,Weeks,5.5
